generator_model,task_id,dimension,rep,text_distance,ast_similarity,ast_distance,import_jaccard,function_jaccard,manifestation_score,recovery_correct,recovery_confidence,keyword_prediction,keyword_correct,structural_fingerprint_score,lock_gain,input_validation_gain,engineer_guessable,manifestation_recovery_gap,taxonomy_category
anthropic,validate_email_like,security,2,0.348875,0.635361,0.364639,1.000000,1.000000,0.178378,0.500000,0.850000,v1,0.500000,11.000000,0.000000,0.000000,yes,-0.321622,A
anthropic,validate_email_like,security,3,0.593153,,,1.000000,0.000000,0.531051,0.500000,0.850000,v1,0.500000,7.000000,0.000000,0.000000,yes,0.031051,A
anthropic,validate_email_like,security,4,0.348875,0.635361,0.364639,1.000000,1.000000,0.178378,0.500000,0.850000,v1,0.500000,11.000000,0.000000,0.000000,yes,-0.321622,A
anthropic,validate_email_like,security,5,0.345024,0.636622,0.363378,1.000000,1.000000,0.177100,0.500000,0.900000,v1,0.500000,11.000000,0.000000,0.000000,yes,-0.322900,A
anthropic,validate_email_like,concurrency,1,0.090483,0.928207,0.071793,1.000000,1.000000,0.040569,0.500000,0.550000,v0,0.500000,0.000000,0.000000,0.000000,no,-0.459431,C
anthropic,validate_email_like,concurrency,2,0.090483,0.928207,0.071793,1.000000,1.000000,0.040569,0.500000,0.550000,v0,0.500000,0.000000,0.000000,0.000000,no,-0.459431,C
anthropic,validate_email_like,concurrency,3,0.090483,0.928207,0.071793,1.000000,1.000000,0.040569,0.500000,0.550000,v0,0.500000,0.000000,0.000000,0.000000,no,-0.459431,C
anthropic,validate_email_like,concurrency,4,0.090483,0.928207,0.071793,1.000000,1.000000,0.040569,0.500000,0.550000,v0,0.500000,0.000000,0.000000,0.000000,no,-0.459431,C
anthropic,validate_email_like,concurrency,5,0.090483,0.928207,0.071793,1.000000,1.000000,0.040569,0.500000,0.550000,v0,0.500000,0.000000,0.000000,0.000000,no,-0.459431,C
anthropic,dependency_order,security,1,0.817308,0.237373,0.762627,1.000000,0.500000,0.519984,0.500000,0.900000,v1,0.500000,12.000000,0.000000,0.000000,yes,0.019984,A
anthropic,dependency_order,security,2,0.839341,0.206073,0.793927,1.000000,0.500000,0.533317,1.000000,0.775000,v1,0.500000,12.000000,0.000000,0.000000,yes,-0.466683,A
anthropic,dependency_order,security,3,0.838271,0.206143,0.793857,1.000000,0.500000,0.533032,0.500000,0.850000,v1,0.500000,12.000000,0.000000,0.000000,yes,0.033032,A
anthropic,dependency_order,security,4,0.830642,0.190292,0.809708,1.000000,0.500000,0.535087,0.500000,0.900000,v1,0.500000,12.000000,0.000000,0.000000,yes,0.035087,A
anthropic,dependency_order,security,5,0.839131,0.206336,0.793664,1.000000,0.500000,0.533199,1.000000,0.775000,v1,0.500000,12.000000,0.000000,0.000000,yes,-0.466801,A
anthropic,dependency_order,concurrency,1,0.892876,0.115350,0.884650,0.000000,0.500000,0.819381,0.500000,0.600000,v0,0.500000,0.000000,0.000000,0.000000,no,0.319381,A
anthropic,dependency_order,concurrency,2,0.849315,0.135529,0.864471,0.000000,1.000000,0.678446,0.500000,0.600000,v0,0.500000,0.000000,0.000000,0.000000,no,0.178446,A
anthropic,dependency_order,concurrency,3,0.886736,0.119160,0.880840,0.000000,0.500000,0.816894,0.500000,0.600000,v0,0.500000,0.000000,0.000000,0.000000,no,0.316894,A
anthropic,dependency_order,concurrency,4,0.881958,0.129318,0.870682,0.000000,0.500000,0.813160,0.500000,0.600000,v0,0.500000,0.000000,0.000000,0.000000,no,0.313160,A
anthropic,dependency_order,concurrency,5,0.892145,0.114941,0.885059,0.000000,0.500000,0.819301,0.500000,0.600000,v0,0.500000,0.000000,0.000000,0.000000,no,0.319301,A
